branch	sha	merge_base	source_file_count	proof_rewrite_files
1.0.x	d90993f0ed1a8d83113924dd2b0019a5e47582dc	d90993f0ed1a8d83113924dd2b0019a5e47582dc	0	
1.1.x	8f9362dcd60e31bbb9300c0f20662afb3dc0c185	e8da0716fce0ac7cde6e3f843b4b152ecbf56a70	1	
1.2.x	3bc4d22bce9e3d882473cfe96f241f76a100aa9a	3bc4d22bce9e3d882473cfe96f241f76a100aa9a	0	
1.3.x	cca221de7d29e86fd770af3aca0efc0d877dff26	cca221de7d29e86fd770af3aca0efc0d877dff26	0	
abdNoOrtho	dab9dd0a0e7f555bd40a5629054a52e76a966cfa	d7a5f90822a20681b236af127b8ef33d95ebd230	9	
abstractTypes	2bcc87ca7abb76ec14dcdad571b3655ad347dfc6	a2eab9fb3c82beb531437c05e9f7d354f8858c31	18	
ackermannPf	41f665ddcaa7e5afa89a1e60a1a5022734b38ade	d0e7209cba17b445e3f490cf652393f9fece7811	2	
addConstAllNt	cc6b8f21f7babd1e623975a23302e8b170a4737e	38f32c292d0c2478e5f049276b7063510ce7d834	1	
aeq-12942	7648c90e4230bea69ac5d458a2217be4d54ccdd2	c3f5da1bc78e772d653ee39fb85abfa260c059df	1	
ai-annotatePf	c0cf32c04461dfa893a884caef2f285e4959df9f	209fedf4ef8316a3c9f8e02b8d006b8c023eeec4	16	src/api/cpp/cvc5_proof_rule_template.cpp;src/options/proof_options.toml;src/proof/annotation_id.cpp;src/proof/annotation_id.h;src/proof/annotation_proof_generator.cpp;src/proof/annotation_proof_generator.h;src/proof/dot/dot_printer.cpp;src/proof/eo/eo_printer.cpp;src/proof/proof_node_to_sexpr.cpp;src/proof/proof_node_to_sexpr.h;src/proof/proof_node_updater.cpp;src/theory/builtin/proof_checker.cpp
ai-arithMultNoDistinct	0bc361c1ad6b6cf8cb26adba5ab049562b497b2c	6024d13c001a5e01a37ca74152aabcfe6f2ac0ba	1	src/theory/arith/proof_checker.cpp
ai-arrayConstElim	5d5bcff692d706fd087764c460240594f08cf717	7eb7e5fd59863f40de2ad7bb6d9f81961c63d9a4	8	src/proof/trust_id.cpp;src/proof/trust_id.h
ai-cbqi-0423	abdfc559d0cc24bc96d52e69353c6c0b60dc41b5	7f138fe3ef01e6e5c0c5459917a71a6489a84cbb	1	
ai-cpcDoc	114d40a2abc354145cb3f9829ff6369faa3fd3c7	78cdc5e7b6d127944f92dba7292335782bd0b03e	0	
ai-deepInc	761d235b0ca5f49388dae21806b6d0e2efa0ae5e	2465dac5a716207165eefcc0e559f72118959cce	4	src/proof/eo/eo_node_converter.cpp;src/proof/eo/eo_node_converter.h;src/proof/eo/eo_printer.cpp
ai-dioLc	b6715aeab1d2b6a0a74a555f1d8f8eb8cfc0ae84	b9230e69ce2389f21d7b72e432913a26f4598da5	6	
ai-eagerInst1	3fc0d4782d8a2ce11546a1c4a31af15548544540	01be63481269d7bd859c0301aa290e4dd949e77b	10	
ai-eagerInst2	2de4c8ffa795e9b48fdd1a29352e092c1aaf7ba9	01be63481269d7bd859c0301aa290e4dd949e77b	24	
ai-eecFixes-0430	b05a1deac0c9077d471ae14fc77f406dd0919410	6024d13c001a5e01a37ca74152aabcfe6f2ac0ba	3	
ai-eecNoShare	c2f448675e2bac7a82c49d77c0578eb1a194a289	d7d03b082c56ad8e7226e0b5385973d82b16d626	1	
ai-emFilter	e13ad3382cc5bb75d6d8bd68697b75e637ab0978	5509c567cde03ce2369cf63ab61ef0c77f353027	20	
ai-eoIntBlast	8b656e8b7c12f190219e55862c4418b9e3a2c534	1e7c37e9121e0e8a284cf292c8f20b9d48d82b3d	8	src/api/cpp/cvc5_proof_rule_template.cpp;src/proof/alf/alf_printer.cpp;src/theory/bv/proof_checker.cpp;src/theory/bv/proof_checker.h
ai-extEagerInst3-1	022bd29874936871947d70d84cc3587b3ac575c9	01be63481269d7bd859c0301aa290e4dd949e77b	39	
ai-factCurrent	844214ed1f483893a57e9799574edb90f91af0e9	6a9e7dc4e7743c9c6c474b011bb113ec8625c7c4	2	
ai-fix12051	a58aa8320e81b430e9f228b7011f24cea536ea67	1077bc4cf2164df146e9777d280502fb1e4fd084	1	
ai-fix12529-ho	16054b37faa6faaa57c972d42d9b0b9cd8cc7bde	643a29adddb00e06a0a8f642f32a9bc82591e137	2	
ai-fix12547	76e7bc4346eaaaaeed4fd11008f2f0d04daf8832	5c6b53b365c187a91cc6f2715474d9dc8e405597	1	
ai-fix12548	da26feb13d1d46d5737f779fee4ad67366504d24	c4946681e4b646e9fc1f1f825f40a1e9f3e84124	1	
ai-fix12566	36418e77cdcb7747ab76f35628953251778fc5e7	e998cacc445a0a13efed22c9b186afe2baec3f07	1	
ai-fix12574	18e4e3db7f60aa72f5c24145221a0108547f3442	c11f68c1e429be8c5d63d404c37824bf150c2356	1	
ai-fix12663	f694d7ad15770199cfa1127d15d60461178a5c90	636912ab9360ea9671c7cea2bc34f77c3486465e	4	
ai-fix12670	d625af519d4422c5b0f4254c8a3e1dbec15b10a5	821f9855d394fb74f42016c8c7e301cab4cc9f2d	1	src/theory/datatypes/infer_proof_cons.cpp
ai-fix12754	5cd791361fe5347b642bad5666a722332cc32bad	09668f2e865a2c21335a7da238406066b2b1f938	2	
